City_ID,City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Current_Description
348,Mehamn,NO,71.0357,27.8492,24.75,63,0,25.32,clear sky
349,Sorong,ID,-0.8833,131.25,82.24,74,86,6.42,overcast clouds
350,Conde,BR,-7.2597,-34.9075,78.26,78,20,8.05,few clouds
351,Vanimo,PG,-2.6741,141.3028,82.6,73,90,9.04,overcast clouds
352,Biak,ID,-0.9131,122.8766,82.81,69,100,2.24,overcast clouds
353,Lompoc,US,34.6391,-120.4579,56.79,84,100,5.3,overcast clouds
354,Brae,GB,60.3964,-1.353,39.33,63,100,4.88,overcast clouds
355,Tommot,RU,58.9564,126.2925,-7.31,96,100,5.08,overcast clouds
356,Vila Do Maio,CV,15.1333,-23.2167,72.19,60,1,8.01,clear sky
357,Maningrida,AU,-12.0667,134.2667,83.88,74,99,16.44,moderate rain
358,Husavik,IS,66.0449,-17.3389,20.37,71,100,18.05,light snow
359,Kaabong,UG,3.4836,34.1492,73.98,36,11,21.77,few clouds
360,Lodwar,KE,3.1191,35.5973,89.51,24,95,25.32,overcast clouds
361,Ahipara,NZ,-35.1667,173.1667,68.05,78,1,9.1,clear sky
362,Sola,VU,-13.8833,167.55,82.51,72,99,16.84,overcast clouds
363,Champerico,GT,14.3,-91.9167,75.6,76,18,5.55,few clouds
364,Guilin,CN,25.2819,110.2864,55.51,42,42,6.93,scattered clouds
365,Atagay,RU,55.1033,99.3875,6.76,89,100,2.8,overcast clouds
366,Twentynine Palms,US,34.1356,-116.0542,53.06,75,9,1.99,clear sky
367,Ongandjera,NA,-17.8833,15.0667,80.4,46,77,9.78,broken clouds
368,Nicoya,CR,10.1483,-85.452,72.01,88,6,3.94,clear sky
369,Meulaboh,ID,4.1363,96.1285,82.71,68,100,6.64,overcast clouds
370,Walvis Bay,NA,-22.9575,14.5053,67.15,68,0,10.36,clear sky
371,Deputatskiy,RU,69.3,139.9,-36.24,96,79,4.85,broken clouds
372,Zaraza,VE,9.3503,-65.3245,70.23,93,4,4.36,clear sky
373,Gijon,ES,43.5357,-5.6615,67.46,98,98,1.01,overcast clouds
374,Yagodnoye,RU,62.55,149.6667,-29.34,98,90,2.8,overcast clouds
375,Bull Savanna,JM,17.8868,-77.5902,69.82,83,0,7.4,clear sky
376,Bay Roberts,CA,47.5999,-53.2648,24.33,81,60,5.01,broken clouds
377,Tigil,RU,57.8,158.6667,-1.16,98,100,0.4,overcast clouds
378,Bethel,US,41.3712,-73.414,42.94,71,75,3.0,broken clouds
379,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.63,98,99,1.23,overcast clouds
380,Porto Novo,BJ,6.4965,2.6036,75.02,71,29,4.52,scattered clouds
381,Contamana,PE,-7.3333,-75.0167,72.09,95,62,2.19,broken clouds
382,Dumas,US,35.8656,-101.9732,29.53,80,0,5.75,clear sky
383,Carlisle,US,40.2015,-77.1889,41.0,70,61,1.54,broken clouds
384,Mayo,US,38.8876,-76.5119,42.49,94,0,0.0,clear sky
